student_id, age, gender, study_hours_per_day, social_media_hours, netflix_hours, part_time_job, attendance_percentage, sleep_hours, diet_quality, exercise_frequency, parental_education_level, internet_quality, mental_health_rating, extracurricular_participation
S1000, 23, Female, 0.0, 1.2, 1.1, No, 85.0, 8.0, Fair, 6, Master, Average, 8, Yes
S1001, 20, Female, 6.9, 2.8, 2.3, No, 97.3, 4.6, Good, 6, High School, Average, 8, No
S1002, 21, Male, 1.4, 3.1, 1.3, No, 94.8, 8.0, Poor, 1, High School, Poor, 1, No
S1003, 23, Female, 1.0, 3.9, 1.0, No, 71.0, 9.2, Poor, 4, Master, Good, 1, Yes
S1004, 19, Female, 5.0, 4.4, 0.5, No, 90.9, 4.9, Fair, 3, Master, Good, 1, No
S1005, 24, Male, 7.2, 1.3, 0.0, No, 82.9, 7.4, Fair, 1, Master, Average, 4, No
S1006, 21, Female, 5.6, 1.5, 1.4, Yes, 85.8, 6.5, Good, 2, Master, Poor, 4, No
S1007, 21, Female, 4.3, 1.0, 2.0, Yes, 77.7, 4.6, Fair, 0, Bachelor, Average, 8, No
S1008, 23, Female, 4.4, 2.2, 1.7, No, 100.0, 7.1, Good, 3, Bachelor, Good, 1, No
S1009, 18, Female, 4.8, 3.1, 1.3, No, 95.4, 7.5, Good, 5, Bachelor, Good, 10, Yes
S1010, 19, Female, 4.6, 3.7, 0.8, No, 77.6, 5.8, Fair, 1, None, Good, 3, No
S1011, 23, Male, 3.9, 2.4, 2.5, No, 71.7, 7.9, Fair, 2, Bachelor, Average, 1, No
S1012, 19, Female, 3.7, 2.1, 0.4, Yes, 81.1, 4.5, Fair, 1, Bachelor, Good, 9, No
S1013, 19, Female, 3.4, 2.7, 2.7, No, 89.3, 4.7, Fair, 4, Bachelor, Good, 10, No
S1014, 24, Male, 2.4, 1.5, 0.7, No, 87.4, 6.7, Poor, 6, Bachelor, Average, 9, No
S1015, 21, Male, 3.1, 5.0, 1.0, No, 97.5, 6.5, Good, 6, High School, Average, 7, No
S1016, 20, Male, 1.0, 0.6, 0.2, No, 92.9, 5.6, Poor, 3, High School, Poor, 8, Yes
S1017, 24, Female, 3.4, 2.7, 1.2, No, 94.7, 7.5, Poor, 0, High School, Average, 1, Yes
S1018, 24, Other, 2.0, 4.9, 2.9, Yes, 88.3, 7.1, Good, 2, High School, Good, 5, No
S1019, 19, Male, 1.8, 2.5, 2.4, No, 71.1, 7.5, Fair, 1, High School, Average, 2, No
S1020, 22, Female, 3.8, 2.3, 2.9, No, 83.0, 6.4, Good, 3, Master, Good, 1, No
S1021, 21, Male, 5.6, 2.1, 2.4, No, 95.6, 7.2, Fair, 1, High School, Good, 3, No
S1022, 18, Other, 4.9, 2.3, 0.6, No, 84.5, 6.0, Fair, 3, High School, Average, 7, No
S1023, 24, Female, 1.1, 4.1, 1.4, Yes, 90.0, 9.0, Fair, 6, Bachelor, Good, 1, No
S1024, 20, Female, 2.0, 0.0, 0.9, Yes, 81.8, 5.5, Fair, 4, Bachelor, Average, 2, No
S1025, 22, Male, 4.9, 4.3, 3.3, No, 74.7, 9.0, Fair, 1, High School, Average, 2, Yes
S1026, 22, Male, 2.0, 0.8, 0.5, No, 83.8, 6.5, Good, 4, Bachelor, Poor, 4, No
S1027, 18, Male, 3.2, 2.2, 2.8, Yes, 88.1, 4.8, Fair, 5, Bachelor, Average, 3, No
S1028, 24, Male, 4.3, 2.0, 2.8, Yes, 78.4, 8.1, Good, 5, High School, Poor, 3, Yes
S1029, 20, Female, 2.0, 3.2, 3.8, Yes, 82.6, 6.7, Poor, 6, High School, Poor, 10, Yes
S1030, 21, Female, 3.7, 0.6, 1.3, No, 75.6, 7.5, Fair, 2, Master, Average, 5, No
S1031, 17, Other, 1.5, 3.1, 2.6, Yes, 96.2, 8.0, Fair, 4, Bachelor, Average, 3, Yes
S1032, 20, Other, 2.6, 4.9, 4.3, No, 82.1, 6.9, Good, 3, Bachelor, Good, 7, No
S1033, 18, Female, 4.0, 0.9, 1.1, No, 99.5, 5.8, Poor, 2, None, Average, 5, No
S1034, 22, Female, 1.1, 2.7, 0.1, No, 100.0, 7.7, Fair, 1, High School, Good, 4, No
S1035, 21, Female, 4.2, 1.7, 0.0, Yes, 84.2, 6.5, Good, 1, Bachelor, Average, 3, No
S1036, 20, Female, 3.5, 3.0, 2.6, No, 74.9, 7.3, Fair, 3, High School, Good, 4, No
S1037, 17, Male, 4.3, 2.5, 0.0, Yes, 64.1, 3.9, Good, 0, High School, Average, 2, No
S1038, 17, Male, 3.8, 1.7, 1.4, No, 70.3, 7.0, Poor, 0, Bachelor, Good, 1, No
S1039, 19, Male, 5.5, 3.1, 2.3, No, 71.3, 5.7, Good, 1, High School, Average, 3, No
S1040, 19, Female, 3.7, 4.7, 2.0, No, 98.8, 8.5, Good, 6, Bachelor, Good, 2, No
S1041, 23, Female, 2.9, 2.3, 2.3, No, 86.2, 7.2, Good, 6, Bachelor, Average, 1, No
S1042, 18, Male, 3.7, 3.4, 2.0, No, 88.9, 6.8, Fair, 3, High School, Poor, 1, Yes
S1043, 24, Female, 4.3, 0.9, 3.2, No, 62.8, 7.1, Poor, 0, Bachelor, Good, 2, No
S1044, 20, Female, 3.6, 1.4, 0.8, No, 73.0, 5.3, Good, 4, High School, Poor, 9, No
S1045, 20, Male, 3.6, 3.1, 1.1, No, 93.9, 8.4, Fair, 1, Bachelor, Average, 5, Yes
S1046, 24, Male, 2.4, 4.3, 1.0, No, 87.9, 8.9, Poor, 5, High School, Average, 9, Yes
S1047, 23, Female, 2.5, 2.9, 2.7, No, 83.5, 7.0, Good, 4, None, Good, 8, Yes
S1048, 22, Female, 1.4, 2.1, 2.8, No, 90.6, 8.4, Fair, 3, Bachelor, Good, 6, No
S1049, 22, Female, 6.1, 2.5, 2.3, No, 100.0, 5.8, Poor, 5, High School, Average, 1, No
S1050, 23, Female, 1.6, 1.0, 3.1, No, 82.8, 5.5, Fair, 4, Master, Good, 10, Yes
S1051, 22, Female, 2.5, 3.2, 0.5, No, 85.7, 6.5, Poor, 0, High School, Average, 5, No
S1052, 19, Female, 2.4, 3.6, 3.6, No, 86.9, 7.0, Fair, 6, High School, Average, 1, No
S1053, 20, Female, 4.8, 2.0, 3.5, No, 100.0, 6.0, Good, 0, Bachelor, Good, 7, Yes
S1054, 23, Female, 3.1, 1.9, 2.6, Yes, 64.0, 7.1, Fair, 5, High School, Good, 10, No
